;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Cooling Equipment Look-up Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,,03/05/25  - SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,1,"Federal Register / Vol. 76, No. 123 / Monday, June 27, 2011 / Proposed Rules",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,DEPARTMENT OF ENERGY / 10 CFR Part 430 / [Docket Number EERE–2011–BT–STD– 0011] / RIN 1904–AC06,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,Energy Conservation Program: Energy Conservation Standards for Residential Furnaces and Residential Central Air Conditioners and Heat Pumps,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,"NAECA_Standards_-_Fed_Reg_June_27,_2011.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,2,<add next data source here>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Other cell color coding:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,0,no performance standard/efficiency defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Mod history:,,,1/9/2013 - SAC - created initial table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,1/10/13 - BAW - efficiency & compatible system table revisions + addition of 2015 standard version,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,"1/10/13 - SAC - reformat table to new syntax, combine standard versions into single table and add SysAvail & IsHP flags",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,"5/20/13 - BAW -added ductless systems, Standard Design column",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,8/6/13 - SAC - added Show Multi-Speed Compressor column,,,,,,,,,,,,,,,,,,,,,,,,,Compliance 2014,,,
;,,,,9/3/2013 - MJB turned on more SysAvail options,,,,,,,,,,,,,,,,,,,,,,,,,Need Std Design system col (especially for no cooling),,,
;,,,,12/6/2013 - SAC - added SEERValid & EERValid columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,12/9/13 - specification of standard systems for Evap systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,4/22/14 - SAC - added PropEqStd column and also the new AirToWaterHeatPump & GroundSourceHeatPump equipment types,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,7/28/14 - MJB - added EvapCondenser option ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,1/26/15 - MJB added rows for other Standards - e.g. 2008 Title-24 and 2006 IECC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,"1/7/16 - SAC - added rows for new SDHVSplitAirCond & SDHVSplitHeatPump (small duct, high velocity) systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,11/2/18 - SAC - added records for new VCHP (variable capacity HP) equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,"11/13/18 - SAC - revised VCHP records to accept SEER & EER (for reporting only, since not used in simulation)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,6/7/19 - SAC - created 2022 codebase (2023 std ver) records - copied from 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,8/8/19 - SAC - added SetbackTstatReqd return value for CF1R reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,"6/19/20 - SAC - added several new Cooling system types for 2019.2.0, tickets #1225, #1226, #1227 & #1229",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,8/18/20 - SAC - updated default efficiencies for PkgTerm & SinglePkgTerm ACs (tic #1003),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,8/19-20/20 - SAC - added CEER as new efficiency metric associated w/ RoomHP & RoomAC (tic #1003),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,11/01/20 - SAC - added VCHP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,08/26/22 - SAC - structural table changes to accommodate SEER2 & EER2 (tic #1331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,"08/27/22 - SAC - updated old SEER/EER data and added new SEER2, EER2 and ratios (tic #1331)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,08/28/22 - SAC - added SEER2/SEER and EER2/EER efficiency ratios (tic #1331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,09/19/22 - SAC - added SEER2/SEER and EER2/EER efficiency ratios to 2019 code vintage (based on '22) plus '19 SEER2 & EER2 using those ratios (tic #1331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,09/25/22 - SAC - fixed errors in 2022 default EER2s for most system types from 10.2 (EERb) to 11.7 (tic #1331),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,11/08/22 - SAC - replaced SEER2/EER2 values in 2019 vintage to be based on '23 standard (rather than calced via multiplier),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,"11/12/22 - SAC - created 2025 code vint records, copied from 2022 for now",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,12/11/22 - SAC - switched PropEqStd flag from 1 to 0 for AirToWaterHeatPump for 2022 & 25 vintages (tic #1318),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,03/31/23 - SAC - add new system type: HeatPumpDHWCombo - Combined Heating / DHW Heat Pump (tic #1349),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,05/16/24 - SAC - add new system type: VCHP3 (tic #1379),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,03/05/25 - SAC - add new system type: SplitAirCondPM (tic #1379),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Independents:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,1,CodeBase - Standard or Code that should be used in the Std Design baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,2,StdVer - Standards Version: ,,2014,,Compliance 2014:  valid through December 2014 (with current Federal Air Conditioning efficiency requirements,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,2015,,Compliance 2015:  any time (with 2015 Federal Air Conditioning Requirements)  and solar credit,,,,,,,,,,,,,,,,,,,,,,,,
;,,,3,SysType - Cooling System Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Dependents:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,1,SEER - Cooling Efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,2,SEER2 - Cooling Efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,3,SEER2perSEER - Ratio of cooling efficiencies (SEER2/SEER),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,4,EER - Cooling Efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,5,EER2 - Cooling Efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,6,EER2perEER - Ratio of cooling efficiencies (EER2/EER),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,7,CEER - Cooling Efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,8,COP95 - Gas Cooling Efficiency (rated COP for the gas portion),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,9,PPC - Gas Cooling parasitic electric energy at rated conditions (in Watts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,10,SysAvail - (0/1) flag whether or not the system type is currently implemented in the compliance software,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,11,DuctFlag - 1 => requires ducts / 0 => ductless / -1 => may use ducts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,12,IsHP - (0/1) flag indicating whether or not this system type is modeled as a heat pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,13,Whether or not (1/0) multi-speed compressor is an option,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,14,PropEqStd - flag indicating that the proposed design system is to be setup/modeled the same as its corresponding standard design system,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,15,StdSystem - system type used to model the standard design,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,16,SEERValid - (0/1) flag indicating whether or not the SEER data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,17,SEER2Valid - (0/1) flag indicating whether or not the SEER2 data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,18,EERValid - (0/1) flag indicating whether or not the EER data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,19,EER2Valid - (0/1) flag indicating whether or not the EER2 data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,20,CEERValid - (0/1) flag indicating whether or not the CEER data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,21,SetbackTstatReqd - (0/1) flag indicating whether or not a setback thermostat is required (based on Res Std section 110.2c),,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,,,,
;,,,,,,,,,,,,,(W),,,,,,,,,,,,,,,,,,,
,TABLE T24RCoolingEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CodeBase,StdVer,SysType,SEER,SEER2,SEER2perSEER,EER,EER2,EER2perEER,CEER,COP95,PPC,SysAvail,DuctFlag,IsHP,ShowMultSpd,PropEqStd,StdSystem,SEERValid,SEER2Valid,EERValid,EER2Valid,CEERValid,SetbackTstatReqd,,,,,,,
,,2013,2014,NoCooling        ,Warning1,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,0,0,0,SplitAirCond     ,0,0,0,0,0,-1,;,NoCooling - No cooling equipment                                    ,,,,,
,,2013,2014,SplitAirCond     ,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,SplitAirCond - Split air conditioning system                        ,,,,,
,,2013,2014,PkgAirCond       ,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,PkgAirCond - Central packaged A/C system (< 65 kBtuh)               ,,,,,
,,2013,2014,LrgPkgAirCond    ,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,LrgPkgAirCond - Large packaged A/C system (>= 65 kBtuh)             ,,,,,
,,2013,2014,SDHVSplitAirCond,12,Warning6,Warning6,10,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,"SDHVSplitAirCond - Small duct, high velocity, split A/C system                        ",,SAC 1/7/16 - added,,,
,,2013,2014,DuctlessMiniSplitAirCond,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessMiniSplitAirCond – Ductless mini-split A/C system,,DR 8/29/16 - revised,,,
,,2013,2014,DuctlessMultiSplitAirCond,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessMultiSplitAirCond - Ductless multi-split A/C system,,DR 8/29/16 - added,,,
,,2013,2014,DuctlessVRFAirCond,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessVRFAirCond - Ductless variable refrigerant flow (VRF) A/C system,,DR 8/29/16 - added,,,
,,2013,2014,RoomAirCond      ,Warning1,Warning6,Warning6,8.5,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,0,1,SplitAirCond     ,0,0,1,0,0,-1,;,RoomAirCond - Non-central room A/C system                           ,,,,,
,,2013,2014,SplitHeatPump    ,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,1,0,0,-1,;,SplitHeatPump - Split heat pump system                              ,,,,,
,,2013,2014,PkgHeatPump      ,13,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,0,0,0,-1,;,PkgHeatPump - Central single-packaged heat pump system (< 65 kBtuh) ,,,,,
,,2013,2014,LrgPkgHeatPump   ,Warning1,Warning6,Warning6,0,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,1,1,0,SplitHeatPump    ,0,0,0,0,0,-1,;,LrgPkgHeatPump - Large packaged heat pump system (>= 65 kBtuh)      ,,,,,
;,,2013,2014,GasCooling       ,Warning1,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,0,0,0,1,0,1,0,N/A,0,0,0,0,0,-1,;,GasCooling - Gas absorption cooling                                 ,,SAC 4/20/14 - removed from selectable options,,,
,,2013,2014,SDHVSplitHeatPump,12,Warning6,Warning6,10,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,1,0,0,-1,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump                              ",,SAC 1/7/16 - added,,,
,,2013,2014,DuctlessMiniSplitHeatPump,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,0,1,0,0,-1,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised,,,
,,2013,2014,DuctlessMultiSplitHeatPump,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,0,1,0,0,-1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/29/16 - added,,,
,,2013,2014,DuctlessVRFHeatPump,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,1,0,1,0,0,-1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,DR 8/29/16 - added,,,
,,2013,2014,RoomHeatPump     ,12,Warning6,Warning6,10,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,1,0,1,SplitHeatPump    ,1,0,1,0,0,-1,;,RoomHeatPump - Room (non-central) heat pump system                  ,,,,,
,,2013,2014,AirToWaterHeatPump,Warning1,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,0,0,1,0,0,-1,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,,,,
,,2013,2014,GroundSourceHeatPump,Warning1,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,0,0,1,0,0,-1,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,,,,
,,2013,2014,VCHP,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,0,0,SplitHeatPump    ,1,0,1,0,0,-1,;,VCHP - Variable Capacity Heat Pump,,SAC 11/2/18 - added,,,
,,2013,2014,VCHP2,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,0,0,SplitHeatPump    ,1,0,1,0,0,-1,;,VCHP2 - Variable Capacity Heat Pump,,SAC 11/2/18 - added,,,
,,2013,2014,HeatPumpV3,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,0,0,SplitHeatPump    ,1,0,1,0,0,-1,;,VCHP3,,05/16/24 - SAC (tic #1379),,,
,,2013,2014,EvapDirect       ,0,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,0,0,0,0,-1,;,EvapDirect - Direct evaporative cooling system                      ,,,,,
,,2013,2014,EvapIndirDirect  ,Warning1,Warning6,Warning6,13,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,0,1,0,0,-1,;,EvapIndirDirect - Indirect-direct evaporative cooling system        ,,,,,Special modelling
,,2013,2014,EvapIndirect     ,Warning1,Warning6,Warning6,13,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,0,1,0,0,-1,;,EvapIndirect - Indirect evaporative cooling system                  ,,,,,Special modelling
,,2013,2014,EvapCondenser    ,16,Warning6,Warning6,14,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,0,0,1,0,0,-1,;,EvapCondenser - Evaporatively-cooled condenser for split AC systems,,MJB 7/28/14 - added option,,,
;,,2013,2014,Evap/CC          ,Warning1,Warning6,Warning6,0,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,1,0,N/A,0,0,0,0,0,-1,;,Evap/CC - Evaporatively-cooled condensers                           ,,SAC 4/20/14 - removed from selectable options,,,
;,,2013,2014,IceSAC           ,0,Warning6,Warning6,0,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,1,0,N/A,0,0,0,0,0,-1,;,IceSAC - Ice storage air conditioning system                        ,,SAC 4/20/14 - removed from selectable options,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,2015,NoCooling        ,Warning1,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,0,0,0,SplitAirCond     ,0,0,0,0,0,-1,;,NoCooling - No cooling equipment                                    ,,,,,
,,2013,2015,SplitAirCond     ,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,SplitAirCond - Split air conditioning system                        ,,,,,
,,2013,2015,PkgAirCond       ,14,Warning6,Warning6,11,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,PkgAirCond - Central packaged A/C system (< 65 kBtuh)               ,,,,,
,,2013,2015,LrgPkgAirCond    ,13,Warning6,Warning6,0,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,1,0,SplitAirCond     ,1,0,0,0,0,-1,;,LrgPkgAirCond - Large packaged A/C system (>= 65 kBtuh)             ,,,,,
,,2013,2015,SDHVSplitAirCond,12,Warning6,Warning6,10,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,"SDHVSplitAirCond - Small duct, high velocity, split A/C system                        ",,,,,
,,2013,2015,DuctlessMiniSplitAirCond,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessMiniSplitAirCond – Ductless mini-split A/C system,,,,,
,,2013,2015,DuctlessMultiSplitAirCond,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessMultiSplitAirCond - Ductless multi-split A/C system,,,,,
,,2013,2015,DuctlessVRFAirCond,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessVRFAirCond - Ductless variable refrigerant flow (VRF) A/C system,,,,,
,,2013,2015,RoomAirCond      ,Warning1,Warning6,Warning6,8.5,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,0,1,SplitAirCond     ,0,0,1,0,0,-1,;,RoomAirCond - Non-central room A/C system                           ,,,,,
,,2013,2015,SplitHeatPump    ,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,1,0,0,-1,;,SplitHeatPump - Split heat pump system                              ,,,,,
,,2013,2015,PkgHeatPump      ,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,1,0,0,-1,;,PkgHeatPump - Central single-packaged heat pump system (< 65 kBtuh) ,,,,,
,,2013,2015,LrgPkgHeatPump   ,Warning1,Warning6,Warning6,0,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,1,1,0,SplitHeatPump    ,0,0,0,0,0,-1,;,LrgPkgHeatPump - Large packaged heat pump system (>= 65 kBtuh)      ,,,,,
;,,2013,2015,GasCooling       ,Warning1,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,0,0,0,1,0,1,0,N/A,0,0,0,0,0,-1,;,GasCooling - Gas absorption cooling                                 ,,,,,
,,2013,2015,SDHVSplitHeatPump,12,Warning6,Warning6,10,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,1,0,0,-1,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump                              ",,,,,
,,2013,2015,DuctlessMiniSplitHeatPump,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,0,1,0,0,-1,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,,,,
,,2013,2015,DuctlessMultiSplitHeatPump,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,0,1,0,0,-1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,,,,
,,2013,2015,DuctlessVRFHeatPump,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,1,0,1,0,0,-1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,,,,
