// Ventilation Space Function Data,,,,,,,,,,,
TABLE VentilationSpaceFunctionData,,,,,,,,,,,
,VentFuncType,CodeVentPerArea,CodeVentPerAreaForDCV,CodeExhContPerFixture,CodeExhIntrmtPerFixture,CodeExhPerArea,AirClass,VentShutoffOccSens,CodeVentPerPerson,VentOccDensSim,
,//,"Area Outdoor Air Rate, Ra",Min Air Rate for DCVb,"Continuous Exhaust Rate,","Intermittent Exhaust Rate,","Exhaust Rate,",Air Class,Notes,"Person Outdoor Air Rate, Rp",Occ Density for Ra,; 
,//,cfm/ft2,cfm/ft2,cfm/unit,cfm/unit,cfm/ft2,,,cfm/person,people/1000ft2,; 
,Assembly - Auditorium seating area,1.07,0.15,0,0,0,1,1,15,71.33333333,; 
,Assembly - Courtrooms,0.19,0.15,0,0,0,1,1,15,12.66666667,; 
,Assembly - Legislative chambers,0.19,0.15,0,0,0,1,1,15,12.66666667,; 
,Assembly - Libraries (reading rooms and stack areas),0.15,0.15,0,0,0,1,0,15,0,; 
,Assembly - Lobbies,0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,Assembly - Museums (childrens),0.25,0.15,0,0,0,1,0,15,16.66666667,; 
,Assembly - Museums/galleries,0.25,0.15,0,0,0,1,1,15,16.66666667,; 
,Assembly - Places of religious worship,1.07,0.15,0,0,0,1,1,15,71.33333333,; 
,Education - Art classroom,0.15,0.15,0,0,0.7,2,0,15,0,; 
,Education - Classrooms (ages 9-18),0.38,0.15,0,0,0,1,0,15,25.33333333,; 
,Education - Classrooms (ages 5-8),0.38,0.15,0,0,0,1,0,15,25.33333333,; 
,Education - Computer lab,0.15,0.15,0,0,0,1,0,15,0,; 
,Education - Daycare (through age 4),0.21,0.15,0,0,0,2,0,15,14,; 
,Education - Daycare sickroom,0.15,0.15,0,0,0,3,0,15,0,; 
,Education - Lecture hall (fixed seats),0,0.15,0,0,0,1,1,15,0,; 
,Education - Lecture/postsecondary classroom,0.38,0.15,0,0,0,1,1,15,25.33333333,; 
,Education - Media center,0.15,0.15,0,0,0,1,0,15,0,; 
,Education - Metal shop,0.15,0.15,0,0,0,2,0,15,0,; 
,Education - Multiuse assembly,0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,Education - Music/theater/dance,1.07,0.15,0,0,0,1,1,15,71.33333333,; 
,Education - Science laboratories,0.15,0.15,0,0,1,2,0,15,0,; 
,Education - University/college laboratories,0.15,0.15,0,0,1,2,0,15,0,; 
,Education - Wood shop,0.15,0.15,0,0,0.5,2,0,15,0,; 
,Exhaust - All other locker rooms,0,0,0,0,0.25,2,0,0,0,; 
,Exhaust - Arenas,0,0,0,0,0.5,1,0,0,0,; 
,Exhaust - Auto repair rooms,0,0,0,0,1.5,2,0,0,0,; 
,Exhaust - Cells with toilet,0,0,0,0,1,2,0,0,0,; 
,"Exhaust - Copy, printing rooms",0,0,0,0,0.5,2,0,0,0,; 
,Exhaust - Darkrooms,0,0,0,0,1,2,0,0,0,; 
,"Exhaust - Janitor closets, trash rooms, recycling",0,0,0,0,1,3,0,0,0,; 
,Exhaust - Kitchenettes,0,0,0,0,0.3,2,0,0,0,; 
,Exhaust - Locker rooms for athletic or industrial facilities,0,0,0,0,0.5,2,0,0,0,; 
,Exhaust - Paint spray booths,0,0,0,0,0,4,0,0,0,; 
,Exhaust - Parking garages,0,0,0,0,0.75,2,0,0,0,; 
,Exhaust - Refrigerating machinery rooms,0,0,0,0,0,3,0,0,0,; 
,Exhaust - Shower rooms,0,0,20,50,0,2,0,0,0,; 
,Exhaust - Soiled laundry storage rooms,0,0,0,0,1,3,0,0,0,; 
,"Exhaust - Storage rooms, chemical",0,0,0,0,1.5,4,0,0,0,; 
,"Exhaust - Toilets, private",0,0,25,50,0,2,0,0,0,; 
,"Exhaust - Toilets, public",0,0,50,0,0,2,0,0,0,; 
,"Exhaust - Woodwork shop/classrooms",0,0,0,0,0.5,2,0,0,0,;
,"Food Service - Bars, cocktail lounges",0.5,0.2,0,0,0,2,0,15,33.33333333,; 
,Food Service - Cafeteria/fast-food dining,0.5,0.15,0,0,0,2,0,15,33.33333333,; 
,Food Service - Kitchen (cooking),0.15,0.15,0,0,0.7,2,0,15,0,; 
,Food Service - Restaurant dining rooms,0.5,0.15,0,0,0,2,0,15,33.33333333,; 
,General - Break rooms,0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,General - Coffee Stations,0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,General - Conference/meeting,0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,General - Corridors,0.15,0.15,0,0,0,1,1,15,0,; 
,General - Occupiable storage rooms for liquids or gels,0.15,0.15,0,0,0,2,0,15,0,; 
,General - Unoccupied,0,0,0,0,0,1,0,0,0,; 
,Lodging - Barracks sleeping areas,0.15,0.15,0,0,0,1,1,15,0,; 
,Lodging - Bedroom/living room,0.15,0.15,0,0,0,1,1,15,0,; 
,Lodging - Laundry rooms within dwelling units,0.15,0.15,0,0,0,1,0,15,0,; 
,"Lodging - Laundry rooms, central",0.15,0.15,0,0,0,2,0,15,0,; 
,Lodging - Lobbies/pre-function,0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,Lodging - Multipurpose assembly,0.5,0.15,0,0,0,1,1,15,0,; 
,Misc - All others,0.15,0.15,0,0,0,2,0,15,0,; 
,Misc - Bank vaults/safe deposit,0.15,0.15,0,0,0,2,1,15,0,; 
,Misc - Banks or bank lobbies,0.15,0.15,0,0,0,1,1,15,0,; 
,Misc - Computer (not printing),0.15,0.15,0,0,0,1,1,15,0,; 
,Misc - Freezer and refrigerated spaces (<50F),0,0,0,0,0,2,0,0,0,; 
,Misc - General manufacturing (excludes heavy industrial and process using chemicals),0.15,0.15,0,0,0,3,0,15,0,; 
,Misc - Pharmacy (preparation area),0.15,0.15,0,0,0,2,0,15,0,; 
,Misc - Photo studios,0.15,0.15,0,0,0,1,0,15,0,; 
,Misc - Shipping/receiving,0.15,0.15,0,0,0,2,0,15,0,; 
,"Misc - Sorting, packing, light assembly",0.15,0.15,0,0,0,2,0,15,0,; 
,Misc - Telephone closets,0.15,0.15,0,0,0,1,0,15,0,; 
,Misc - Transportation waiting,0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,Misc - Warehouses,0.15,0.15,0,0,0,2,0,15,0,; 
,Office - Breakrooms,0.5,0.15,0,0,0,1,0,15,33.33333333,; 
,Office - Main entry lobbies,0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,Office - Occupiable storage rooms for dry materials,0.15,0.15,0,0,0,1,0,15,0,; 
,Office - Office space,0.15,0.15,0,0,0,1,1,15,0,; 
,Office - Reception areas,0.15,0.15,0,0,0,1,1,15,0,; 
,Office - Telephone/data entry,0.15,0.15,0,0,0,1,1,15,0,; 
,Residential - Common corridors,0.15,0.15,0,0,0,1,1,15,0,; 
,Retail - Barbershop,0.4,0.4,0,0,0.5,2,1,15,0,; 
,Retail - Beauty and nail salons,0.4,0.4,0,0,0.6,2,0,15,0,; 
,Retail - Coin-operated laundries,0.3,0.3,0,0,0,2,0,15,0,; 
,Retail - Mall common areas,0.25,0.15,0,0,0,1,1,15,16.66666667,; 
,Retail - Pet shops (animal areas),0.25,0.15,0,0,0.9,2,0,15,16.66666667,; 
,Retail - Sales,0.25,0.2,0,0,0,2,0,15,16.66666667,; 
,Retail - Supermarket,0.25,0.2,0,0,0,1,1,15,16.66666667,; 
,Sports/Entertainment - Bowling alley (seating),1.07,0.15,0,0,0,1,0,15,71.33333333,; 
,Sports/Entertainment - Disco/dance floors,1.5,0.15,0,0,0,2,1,15,100,; 
,Sports/Entertainment - Gambling casinos,0.68,0.15,0,0,0,1,0,15,45.33333333,; 
,Sports/Entertainment - Game arcades,0.68,0.15,0,0,0,1,0,15,45.33333333,; 
,"Sports/Entertainment - Gym, sports arena (play area)",0.5,0.15,0,0,0,2,0,15,33.33333333,; 
,Sports/Entertainment - Health club/aerobics room,0.15,0.15,0,0,0,2,0,15,0,; 
,Sports/Entertainment - Health club/weight rooms,0.15,0.15,0,0,0,2,0,15,0,; 
,Sports/Entertainment - Spectator areas,0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,"Sports/Entertainment - Stages, studios",0.5,0.15,0,0,0,1,1,15,33.33333333,; 
,Sports/Entertainment - Swimming (deck),0.5,0.15,0,0,0,2,0,15,33.33333333,; 
,Sports/Entertainment - Swimming (pool),0.15,0.15,0,0,0,2,0,15,0,; 
,NA,0,0,0,0,0,0,0,0,0,;
ENDTABLE,,,,,,,,,,,
