;,CEC Title-24 Residential Compliance Ruleset   ,,,,,,,,,,,
,2011139A,Solar Power Formulators,SPF,SPF-ET20HP,3.476,0.406,-1.753,,,,,
,2010092A,"Solargenix Energy, LLC",NT-FLEX,NTFLEX10,2.185,0.626,-3.782,,,,,
,2011004A,"Solargenix Energy, LLC",Solargenix NT-24,NT-24-10,2.229,0.678,-3.869,,,,,
,2011114A,"Solargenix Energy, LLC",Solargenix NT-48,NT-48-10,4.467,0.64,-3.271,,,,,
,2005003A,"Solargenix Energy, LLC",Winston Series CPC,WS0503,2.239,0.6,-5.679,,,,,
,2010038A,Solarhot,SOLARHOT,S-C-771D26,2.446,0.729,-4.264,,,,,
,2010038B,Solarhot,SOLARHOT,S-C-771D32,2.928,0.733,-4.305,,,,,
,2010038C,Solarhot,SOLARHOT,S-C-771D40,3.66,0.734,-4.301,,,,,
,2006048A,Solarhot,SOLARHOT Solstice,S-SC-126S26,2.922,0.707,-5.122,,,,,
,2006048B,Solarhot,SOLARHOT Solstice,S-SC-126S32,2.975,0.708,-5.132,,,,,
,2006048C,Solarhot,SOLARHOT Solstice,S-SC-126S40,3.71,0.711,-5.136,,,,,
,2010028A,Solcan / 174945 Ontario Inc.,Solcan,2101,2.889,0.701,-4.216,,,,,
,2009075B,Sole S.A.,Climasol,Climasol 1.75,1.76,0.628,-4.228,,,,,
,2009075A,Sole S.A.,Climasol,Climasol 2.00,1.921,0.629,-4.226,,,,,
,2009075C,Sole S.A.,Climasol,Climasol 2.50,2.315,0.637,-4.231,,,,,
,2009075D,Sole S.A.,Climasol,Climasol 2.70,2.677,0.64,-4.235,,,,,
,2006045A,Solene,AURORA,SLAR-24,2.23,0.784,-4.614,,,,,
,2011074C,Solene,AURORA,SLAR-24SPA,2.235,0.711,-4.055,,,,,
,2009058B,Solene,AURORA,SLAR-32,2.973,0.787,-4.611,,,,,
,2007045C,Solene,AURORA,SLAR-32P,2.973,0.689,-6.304,,,,,
,2011074B,Solene,AURORA,SLAR-32SPA,2.979,0.716,-4.035,,,,,
,2009058C,Solene,AURORA,SLAR-40,3.716,0.79,-4.61,,,,,
,2007045D,Solene,AURORA,SLAR-40P,3.716,0.691,-6.305,,,,,
,2011074A,Solene,AURORA,SLAR-40SPA,3.727,0.719,-4.071,,,,,
,10002077,Solene,Solene,SLAR-24,2.23,0.74,-4.064,,,,,
,10002076,Solene,Solene,SLAR-32,2.973,0.743,-4.057,,,,,
,10002075,Solene,Solene,SLAR-40,3.716,0.745,-4.054,,,,,
,10001923,Solene,Solene,SLSG-40,3.717,0.737,-4.651,,,,,
,10002078,Solene,Solene,SLSG-40 PLUS,3.716,0.745,-4.067,,,,,
,2011086A,Solene,Solene EcoFLARE,SLEF-24,2.25,0.545,-6.213,,,,,
,2009058A,Solene,Solene-Corona,SLCO-30,2.278,0.782,-4.6,,,,,
,2006045B,Solene,Solene-Corona,SLCO-32,2.973,0.787,-4.611,,,,,
,2007045A,Solene,Solene-Corona,SLCO-32P,2.973,0.689,-6.304,,,,,
,2006045C,Solene,Solene-Corona,SLCO-40,3.716,0.79,-4.61,,,,,
,2007045B,Solene,Solene-Corona,SLCO-40P,3.716,0.691,-6.305,,,,,
,10002114,SOLID Solar Energy Systems GmbH,ensol,DIS 150,15.5,0.75,-3.299,; added - SAC 05/11/21,,,,
,10001834,Solight Solar Inc,Solight,44,1.425,0.532,-7.06,,,,,
,2010008B,Solimpeks Solar Energy Corp,Marvel,CLS 1808,1.838,0.686,-4.59,,,,,
,2010008A,Solimpeks Solar Energy Corp,Marvel,CLS 2510,2.48,0.697,-4.573,,,,,
,10001863,Solimpeks Solar Energy Corp,Wunder ALS,1809,1.786,0.708,-4.316,; modified - RJH 11/13/24 - was,1.799,0.711,-4.005,
,10001864,Solimpeks Solar Energy Corp,Wunder ALS,2110,2.07,0.72,-4.077,; modified - RJH 11/13/24 - was,2.07,0.733,-4.092,
,10001865,Solimpeks Solar Energy Corp,Wunder ALS,"2512, 2512-H",2.421,0.721,-4.063,; modified - RJH 11/13/24 - was,2.421,0.727,-4.021,
,10001866,Solimpeks Solar Energy Corp,Wunder ALS,3010,2.971,0.726,-4.196,; modified - RJH 11/13/24 - was,2.967,0.727,-3.994,
,2010070A,Solimpeks Solar Energy Corp,Wunder CLSF,1808,1.79,0.691,-3.63,,,,,
,2010070B,Solimpeks Solar Energy Corp,Wunder CLSF,2108,2.07,0.699,-3.64,,,,,
,2010070C,Solimpeks Solar Energy Corp,Wunder CLSF,2510,2.421,0.705,-3.64,,,,,
,10001719,Solimpeks Solar Energy Corp,Wunder CLSF,3010,2.967,0.701,-3.601,,,,,
,10002103,Soltek Puerto Rico LLC,Soltek,3476-7HE,1.499,0.761,0.658,; added - SAC 05/11/21,,,,
,10002144,SP Treatment Systems Inc.,Sustainable Products SWH,SP BlueWave 29,2.922,0.722,-3.838,; added RJH 11/13/24,,,,
,10002015B,Stiebel Eltron,Sol 29,Premium S,2.578,0.735,-4.85,; added RJH 11/13/24,,,,
,10002015A,Stiebel Eltron,Sol 29,Premium W,2.578,0.714,-4.124,; added RJH 11/13/24,,,,
,2005016A,Stiebel Eltron,Stiebel Eltron,Sol 25 Plus,2.734,0.66,-4.287,,,,,
,2011035A,Stiebel Eltron,Stiebel Eltron,SOL 27 Premium S,2.546,0.767,-4.018,,,,,
,2011036A,Stiebel Eltron,Stiebel Eltron,SOL 27 Premium W,2.546,0.749,-4.035,,,,,
,10002015,Stiebel Eltron,"Stiebel Eltron, Inc",Sol 29 Premium S/W,2.58,0.709,-3.942,,,,,
,2010122A,"Sun Freedom America, LLC",Sun Freedom America-SFA-4,TAL 4 S,2.78,0.678,-3.804,,,,,
,10002092,Sun Light & Power,Sol Vario,1000 DF,1.62,0.587,-1.627,,,,,
,10002091,Sun Light & Power,Sol Vario,2000 DF,3.242,0.587,-1.627,,,,,
,10002090,Sun Light & Power,Sol Vario,3000 DF,4.87,0.587,-1.627,,,,,
,10002104,Sunbank Solar,Sunbank Solar,SB-1200D,2,0.679,-4.653,; added - SAC 05/11/21,,,,
,10001780,"SunEarth, Inc.",CopperHeart,CP-20,1.182,0.674,-5.228,; added RJH 11/13/24,,,,
,10001779,"SunEarth, Inc.",CopperHeart,CP-40,2.319,0.674,-5.228,; added RJH 11/13/24,,,,
,2006024B/S-4579,"SunEarth, Inc.",Empire,EC-21,1.974,0.735,-4.041,,,,,
,2006024A/S-4579,"SunEarth, Inc.",Empire,EC-24 / EC-24-0.75,2.298,0.735,-4.041,,,,,
,2006024C/S-4579,"SunEarth, Inc.",Empire,EC-32 / EC-32-0.75,3.051,0.753,-4.106,,,,,
,2006024D/S-4579,"SunEarth, Inc.",Empire,EC-32-1.5,3.051,0.753,-4.106,,,,,
,2006024E/S-4579,"SunEarth, Inc.",Empire,EC-40 / EC-40-0.75,3.796,0.758,-4.125,,,,,
,2006024F/S-4579,"SunEarth, Inc.",Empire,EC-40-1.5,3.796,0.758,-4.125,,,,,
,2007032B,"SunEarth, Inc.",Empire,EP-21,1.961,0.726,-5.093,"; updated SRCC ID, was: 2007032B/S-4579 - SAC 05/11/21",1.961,0.726,-5.067,
,2007032C,"SunEarth, Inc.",Empire,EP-24 / EP-24-0.75,2.29,0.728,-5.101,"; updated SRCC ID, was: 2007032C/S-4579 - SAC 05/11/21",2.29,0.728,-5.077,
,2007032D,"SunEarth, Inc.",Empire,EP-32 / EP-32-0.75,3.125,0.726,-5.04,"; updated SRCC ID, was: 2007032D/S-4579 - SAC 05/11/21",3.051,0.744,-5.162,
,2007032E,"SunEarth, Inc.",Empire,EP-32-1.5,3.051,0.744,-5.162,"; updated SRCC ID, was: 2007032E/S-4579 - SAC 05/11/21",,,,
,2007032A,"SunEarth, Inc.",Empire,EP-40 / EP-40-0.75,3.8,0.744,-5.151,"; updated SRCC ID, was: 2007032A/S-4579 - SAC 05/11/21",,,,
,2007032F,"SunEarth, Inc.",Empire,EP-40-1.5,3.8,0.744,-5.151,"; updated SRCC ID, was: 2007032F/S-4579 - SAC 05/11/21",,,,
,10001825/S-4579,"SunEarth, Inc.",Imperial,IC-32,3.06,0.765,-4.079,,,,,
,10001824/S-4579,"SunEarth, Inc.",Imperial,IC-40,3.799,0.775,-4.125,,,,,
,10001823/S-4579,"SunEarth, Inc.",Imperial,IS-32,3.06,0.726,-3.701,,,,,
,10001822/S-4579,"SunEarth, Inc.",Imperial,IS-40,3.799,0.736,-3.743,,,,,
,2006025B,"SunEarth, Inc.",SunBelt,SB-24-0.75,2.29,0.661,-6.579,"; updated SRCC ID, was: 2006025B/S-4579 - SAC 05/11/21",,,,
,2006025A,"SunEarth, Inc.",SunBelt,SB-32-0.75,3.058,0.673,-6.674,"; updated SRCC ID, was: 2006025A/S-4579 - SAC 05/11/21",,,,
,2006025C,"SunEarth, Inc.",SunBelt,SB-40-0.75,3.796,0.681,-6.742,"; updated SRCC ID, was: 2006025C/S-4579 - SAC 05/11/21",,,,
,10002157,"SunEarth, Inc.",ThermoRay,TR-20,1.922,0.701,-6.778,; added RJH 11/13/24,,,,
,10002156,"SunEarth, Inc.",ThermoRay,TR-26,2.495,0.705,-6.777,; added RJH 11/13/24,,,,
,10002150,"SunEarth, Inc.",ThermoRay,TR-32,3.048,0.707,-6.6,; added RJH 11/13/24,,,,
,10002155,"SunEarth, Inc.",ThermoRay,TR-40,3.108,0.709,-6.801,; added RJH 11/13/24,,,,
,10002146,"SunEarth, Inc.",ThermoRay,TRB-20,1.91,0.738,-4.133,; added RJH 11/13/24,,,,
,10002071,"SunEarth, Inc.",ThermoRay,TRB-26,2.494,0.74,-4.115,; modified - RJH 11/13/24 - was,2.31,,,
,10001804,"SunEarth, Inc.",ThermoRay,TRB-32,3.05,0.765,-4.333,"; updated SRCC ID, was: 10001804/S-4579 - SAC 05/11/21",,0.751,-4.167,
,10001803,"SunEarth, Inc.",ThermoRay,TRB-40,3.804,0.753,-4.172,"; updated SRCC ID, was: 10001803/S-4579 - SAC 05/11/21",,,,
,2008029A,SunMaxx Solar LLC,SunMaxx,TitanPower-AL2,2.176,0.702,-3.6427,; modified - RJH 11/13/24 - was,2.176,0.709,-4.466,
,2012031B,SunMaxx Solar LLC,ThermoPower,ThermoPower VDF10,1.069,0.674,-2.026,"; renamed model, was: ThermoPower UDF10 - SAC 05/12/21",1.355,0.416,-1.076,
,2012031F,SunMaxx Solar LLC,ThermoPower,ThermoPower VDF20,2.214,0.674,-2.026,"; renamed model, was: ThermoPower UDF20 - SAC 05/12/21",2.504,0.416,-1.076,
,2012031H,SunMaxx Solar LLC,ThermoPower,ThermoPower VDF30,3.331,0.674,-2.026,"; renamed model, was: ThermoPower UDF30 - SAC 05/12/21",3.654,0.416,-1.076,
,2012024A,SunMaxx Solar LLC,ThermoPower,ThermoPower VHP20,3.327,0.43,-1.797,; modified - RJH 11/13/24 - was,3.476,0.406,-1.753,
,2012024B,SunMaxx Solar LLC,ThermoPower,ThermoPower VHP30,5,0.43,-1.797,; modified - RJH 11/13/24 - was,5.241,0.406,-1.753,
,10001868,SunMaxx Solar LLC,TitanPower,TitanPower-ALDH29,2.721,0.739,-3.982,,,,,
,10002011,SunMaxx Solar LLC,TitanPower,TitanPower-ALDH29-27A,2.72,0.751,-4.384,,,,,
,10002010,SunMaxx Solar LLC,TitanPower,TitanPower-ALDH29-A,2.714,0.728,-4.158,,,,,
,10001891,SunMaxx Solar LLC,TitanPower,TitanPower-ALDH40-PS,3.69,0.745,-4.691,,,,,
,10002018,SunMaxx Solar LLC,TitanPowerPlus,TitanPowerPlus-ALDH29P,2.65,0.838,-4.792,,,,,
,10002034,SunMaxx Solar LLC,TitanPowerPlus,TitanPowerPlus-ALDH29-V3,2.74,0.747,-4.38,,,,,
,2011128B,"SunQest, Inc.",Fresource,G32,3.096,0.717,-4.826,,,,,
,2011128A,"SunQest, Inc.",Fresource,G40,3.642,0.718,-4.674,,,,,
,2011129B,"SunQest, Inc.",Fresource,T32,3.104,0.745,-9.727,,,,,
,2011129A,"SunQest, Inc.",Fresource,T40,3.633,0.728,-8.09,,,,,
,2011129C,"SunQest, Inc.",Fresource,T48,4.774,0.744,-4.508,,,,,
,2011129D,"SunQest, Inc.",Fresource,T56,5.549,0.745,-3.295,,,,,
,2007049A,"Sunsiaray Solar Manufacturing, Inc.",Northern Comfort,NC-32,3.179,0.632,-5.072,,,,,
,2009038A,SunTrac USA,SunTrac,"STS-TC32R, STS-TC24R",2.999,0.558,-2.925,"; manufact. & model renamed, model was: SunTrac27 - SAC 05/12/21",; modified - RJH 11/13/24 - was,0.697,-2.587,
,S-8624,"SunUP Solar Systems, Inc",SunUp,HP408,2.987,0.7515,-4.214,,,,,
,S-8624,"SunUP Solar Systems, Inc",SunUp,HP408C,2.993,0.7565,-5.0969,,,,,
,S-8624,"SunUP Solar Systems, Inc",SunUp,HP408Cu,2.99,0.7605,-5.2109,,,,,
,S-8624,"SunUP Solar Systems, Inc",SunUp,HP410,3.719,0.7593,-4.2349,,,,,
,S-8624,"SunUP Solar Systems, Inc",SunUp,HP410C,3.71,0.7565,-5.0969,,,,,
,S-8624,"SunUP Solar Systems, Inc",SunUp,HP410Cu,3.71,0.7719,-5.2109,,,,,
,10002089,"Sunvapor, Inc.",SUNVAPOR,SRT-13S,13.166,0.799,-4.294,,,,,
,10001999,Sunvelope Solar,SUNVELOPE SOLAR,FPE-17,1.687,0.65,-7.64,,,,,
,10001919,Sunvelope Solar,Sunvelope Solar,FPE-21,2.069,0.655,-7.315,,,,,
,10001928,Sunvelope Solar,Sunvelope Solar,FPE-30,2.952,0.662,-6.87,,,,,
,2009090A,Surface Power,Surface Power,SP501,1.673,0.423,-1.667,,,,,
,2008020A,"Tec-Solar Energy Industry Co., Ltd.",TecSolar,TS-10-58PA,1.678,0.363,-1.424,,,,,
,2009001A,"Tec-Solar Energy Industry Co., Ltd.",TecSolar,TS-10-70PA,2.04,0.387,-1.325,,,,,
,2008020B,"Tec-Solar Energy Industry Co., Ltd.",TecSolar,TS-20-58PA,3.232,0.363,-1.424,,,,,
,2009001B,"Tec-Solar Energy Industry Co., Ltd.",TecSolar,TS-20-70PA,3.824,0.387,-1.325,,,,,
,2008020C,"Tec-Solar Energy Industry Co., Ltd.",TecSolar,TS-22-58PA,3.545,0.363,-1.424,,,,,
,2008020D,"Tec-Solar Energy Industry Co., Ltd.",TecSolar,TS-24-58PA,3.858,0.363,-1.424,,,,,
,2008020E,"Tec-Solar Energy Industry Co., Ltd.",TecSolar,TS-30-58PA,4.796,0.363,-1.424,,,,,
,2009007A,"Thermo Dynamics, Ltd.",Micro-Flo,S32-P,2.976,0.694,-4.811,,,,,
,2006005A,"Thermo Dynamics, Ltd.",Thermo Dynamics G Series,G32-P,2.982,0.7,-4.934,,,,,
,10002014,TIGI Ltd.,Honeycomb Collector,HC1-A,2.088,0.672,-2.115,,,,,
,10002046,Trigo Energies Inc.,Trigo,Acero,2.645,0.666,-4.877,,,,,
,10002046,Trigo Energies Inc.,Trigo,Acero GL,2.625,0.666,-4.877,,,,,
,10002050,Trigo Energies Inc.,Trigo,Fresco,5.25,0.722,-5.146,,,,,
,10002050,Trigo Energies Inc.,Trigo,Fresco GL,5.25,0.722,-5.146,,,,,
,2007034A,"Tsinghua Solar Systems, Ltd.",Tsinghua Solar,SLU-1500/12,1.229,0.537,-2.531,,,,,
,2007034B,"Tsinghua Solar Systems, Ltd.",Tsinghua Solar,SLU-1800/24,2.974,0.537,-2.531,,,,,
,2007052B,TSW Holding Corp.,TiSUN,FA 2/3,6.1,0.732,-4.068,,,,,
,2007052A,TSW Holding Corp.,TiSUN,FA 2/4,8.076,0.714,-3.96,,,,,
,2007052C,TSW Holding Corp.,TiSUN,FA 2/5,10.1,0.738,-4.098,,,,,
,2007052D,TSW Holding Corp.,TiSUN,FA 2/6,12.1,0.737,-4.087,,,,,
,2007054A,TSW Holding Corp.,TiSUN,FM-W/S 4,2.552,0.739,-4.097,,,,,
,10002057,TVP Solar,MT-Power,v4,1.96,0.757,-1.553,; modified - RJH 11/13/24 - was,,0.745,-1.455,
,10002138,Tychon LLC,ER3,JDL-PG2.0-80,2,0.641,-4.018,; added RJH 11/13/24,,,,
,10001782,UMA Solar,Eco Spark,SLES-30,2.866,0.743,-17.788,,,,,
,10001781,UMA Solar,Eco Spark,SLES-40,3.961,0.743,-16.858,,,,,
,2010037A,"Universal Solar Products, Inc.","Universal Solar Products, Inc.",USP-519,1.67,0.661,-4.86,; modified - RJH 11/13/24 - was,1.685,0.646,-4.772,
,10002151,"Universal Solar Products, Inc.","Universal Solar Products, Inc.",USP-619,1.67,0.75,-4.597,; added RJH 11/13/24,,,,
,2007042A,Viessmann Manufacturing Company (US) Inc.,Vitosol,"100-F, SV1/SH1",2.494,0.776,-4.427,,,,,
,10002027,Viessmann Manufacturing Company (US) Inc.,Vitosol,100-FM SH1F,2.51,0.743,-5.658,,,,,
,10002025,Viessmann Manufacturing Company (US) Inc.,Vitosol,100-FM SV1F,2.51,0.744,-5.674,,,,,
,10002028,Viessmann Manufacturing Company (US) Inc.,Vitosol,100-FM SVKF,2.182,0.747,-5.783,,,,,
,10001924,Viessmann Manufacturing Company (US) Inc.,Vitosol,200-F Sv2C/SH2C,2.513,0.787,-5.194,,,,,
,10001867,Viessmann Manufacturing Company (US) Inc.,Vitosol,200-F SVK,2.182,0.719,-4.269,,,,,
,10002026,Viessmann Manufacturing Company (US) Inc.,Vitosol,200-FM SH2F,2.51,0.754,-6.04,,,,,
,10002029,Viessmann Manufacturing Company (US) Inc.,Vitosol,200-FM SV2F,2.51,0.752,-5.743,,,,,
,10001883,Viessmann Manufacturing Company (US) Inc.,Vitosol,200-T SP2A - 1.26,1.983,0.508,-1.256,,,,,
,10001882,Viessmann Manufacturing Company (US) Inc.,Vitosol,200-T SP2A - 1.51,2.36,0.508,-1.256,,,,,
,10001881,Viessmann Manufacturing Company (US) Inc.,Vitosol,200-T SP2A - 3.03,4.619,0.508,-1.256,,,,,
,10001827,Viessmann Manufacturing Company (US) Inc.,Vitosol,200-T SPE - 1.63,2.757,0.434,-1.411,,,,,
,10001826,Viessmann Manufacturing Company (US) Inc.,Vitosol,200-T SPE - 3.26,5.401,0.434,-1.411,,,,,
,2005020A,Viessmann Manufacturing Company (US) Inc.,Vitosol,"300-T, SP3 -2m2",2.878,0.509,-1.095,,,,,
,2005020B,Viessmann Manufacturing Company (US) Inc.,Vitosol,"300-T, SP3 -3m2",4.287,0.509,-1.095,,,,,
,2011101A,Wagner Solar Inc.,Euro,Euro L42 HTF,2.248,0.692,-4.167,,,,,
,10001776,Wagner Solar Inc.,EURO L20 AR,EURO L20 AR,2.613,0.746,-3.876,,,,,
,10001775,Wagner Solar Inc.,EURO L20 MQ AR,L20 MQ AR,2.613,0.746,-3.992,,,,,
,2012005B,"Westech Solar Technology Wuxi Co., Ltd.",Westech,WT-B58-10,1.807,0.371,-1.225,,,,,
,2012005C,"Westech Solar Technology Wuxi Co., Ltd.",Westech,WT-B58-15,2.682,0.371,-1.225,,,,,
,2012005D,"Westech Solar Technology Wuxi Co., Ltd.",Westech,WT-B58-20,3.431,0.371,-1.225,,,,,
,2012005E,"Westech Solar Technology Wuxi Co., Ltd.",Westech,WT-B58-24,4.08,0.371,-1.225,,,,,
,2012005A,"Westech Solar Technology Wuxi Co., Ltd.",Westech,WT-B58-30,5.055,0.371,-1.225,,,,,
,2012041B,"Your Home Tech., Ltd.",YUHO,HP-2010,2.073,0.665,-6.041,,,,,
,2012041C,"Your Home Tech., Ltd.",YUHO,HP-2012,2.465,0.669,-5.581,,,,,
,2012041A,"Your Home Tech., Ltd.",YUHO,HP-2014,2.859,0.671,-5.236,,,,,
,2006008C,"Your Solar Home, Inc.",SolarSheat,1000G,1.204,0.49,-6.991,,,,,
,2006008D,"Your Solar Home, Inc.",SolarSheat,1000GS,1.578,0.49,-6.991,,,,,
,2006008B,"Your Solar Home, Inc.",SolarSheat,1500G,2.051,0.49,-6.991,,,,,
,2006008A,"Your Solar Home, Inc.",SolarSheat,1500GS,2.428,0.49,-6.991,,,,,
,2011063B,"Zhejiang Jiadele Solar Energy Co., Ltd.",JIADELE,JDL-PM10-58-1.8A,1.602,0.316,-1.258,,,,,
,2011063C,"Zhejiang Jiadele Solar Energy Co., Ltd.",JIADELE,JDL-PM15-58-1.8A,2.348,0.316,-1.258,,,,,
,2011063D,"Zhejiang Jiadele Solar Energy Co., Ltd.",JIADELE,JDL-PM18-58-1.8A,2.795,0.316,-1.258,,,,,
,2011063E,"Zhejiang Jiadele Solar Energy Co., Ltd.",JIADELE,JDL-PM20-58-1.8A,3.093,0.316,-1.258,,,,,
,2011063F,"Zhejiang Jiadele Solar Energy Co., Ltd.",JIADELE,JDL-PM25-58-1.8A,3.839,0.316,-1.258,,,,,
,2011063A,"Zhejiang Jiadele Solar Energy Co., Ltd.",JIADELE,JDL-PM30-58-1.8A,4.584,0.316,-1.258,,,,,
,2011063G,"Zhejiang Jiadele Solar Energy Co., Ltd.",JIADELE,JDL-PM36-58-1.8A,5.479,0.316,-1.258,,,,,
,10001861,"Zhejiang Shende New Energy Co.,Ltd.",DLL,DLL-C-P01-15,2.401,0.401,-1.379,,,,,
,10001862,"Zhejiang Shende New Energy Co.,Ltd.",DLL,DLL-C-P01-20,3.145,0.401,-1.379,,,,,
,10001860,"Zhejiang Shende New Energy Co.,Ltd.",DLL,DLL-C-P01-30,4.633,0.401,-1.379,,,,,
,2009004A,"Zhejiang Shentai Solar Energy Co., Ltd.",Suntask,SR10,1.591,0.422,-1.864,,,,,
,2009004D,"Zhejiang Shentai Solar Energy Co., Ltd.",Suntask,SR15,2.322,0.422,-1.864,,,,,
,2009004B,"Zhejiang Shentai Solar Energy Co., Ltd.",Suntask,SR20,3.07,0.422,-1.864,,,,,
,2009004C,"Zhejiang Shentai Solar Energy Co., Ltd.",Suntask,SR30,4.673,0.422,-1.864,,,,,
,2011103B,"Zhejiang Sidite New Energy Co., Ltd.",Sidite,SC-H-10,1.609,0.343,-1.209,,,,,
,2011103C,"Zhejiang Sidite New Energy Co., Ltd.",Sidite,SC-H-15,2.35,0.343,-1.209,,,,,
,2011103D,"Zhejiang Sidite New Energy Co., Ltd.",Sidite,SC-H-18,2.795,0.343,-1.209,,,,,
,2011103A,"Zhejiang Sidite New Energy Co., Ltd.",Sidite,SC-H-20,3.091,0.343,-1.209,,,,,
,2011103E,"Zhejiang Sidite New Energy Co., Ltd.",Sidite,SC-H-24,3.683,0.343,-1.209,,,,,
,2011103F,"Zhejiang Sidite New Energy Co., Ltd.",Sidite,SC-H-30,4.572,0.343,-1.209,,,,,
,2011107B,"Zhejiang Yuanneng New Energy Co., Ltd.",Younn,YN58-10,1.689,0.412,-1.163,,,,,
,2011107C,"Zhejiang Yuanneng New Energy Co., Ltd.",Younn,YN58-15,2.456,0.412,-1.163,,,,,
,2011107D,"Zhejiang Yuanneng New Energy Co., Ltd.",Younn,YN58-20,3.224,0.412,-1.163,,,,,
,2011107E,"Zhejiang Yuanneng New Energy Co., Ltd.",Younn,YN58-25,3.992,0.412,-1.163,,,,,
,2011107A,"Zhejiang Yuanneng New Energy Co., Ltd.",Younn,YN58-30,4.759,0.412,-1.163,,,,,
ENDTABLE,,,,,,,,,,,,
